name	mididev	midictl
time:rate	twister	s13
time:run	twister	b13
surface:line_opacity	twister	s29
surface:solid_opacity	twister	s30
surface:warp_rate	twister	s14
surface:warp_run	twister	b14
surface:warp_amount	twister	s12
surface:ry	twister	s3
cam:position	twister	s4
surface:noise_rate	twister	s15
surface:noise_run	twister	b15
surface:noise_level	twister	s16
surface:noise_period	twister	s8
post:echo_level	twister	s2
post:echo_length	twister	s1
post:bloom_amount	twister	s17
post:bloom_distance	twister	s18
